Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1880	-34.0	-27.0	-22.0	-30.0	-16.0	-24.0	-19.0	-12.0	-20.0	-19.0	-16.0	-21.0
1881	-13.0	-16.0	-2.0	-3.0	-3.0	-27.0	-12.0	-8.0	-18.0	-23.0	-28.0	-18.0
1882	3.0	4.0	-2.0	-24.0	-20.0	-32.0	-27.0	-11.0	-11.0	-25.0	-25.0	-37.0
1883	-38.0	-38.0	-12.0	-20.0	-20.0	-8.0	-3.0	-13.0	-19.0	-19.0	-28.0	-21.0
1884	-20.0	-14.0	-31.0	-36.0	-33.0	-36.0	-31.0	-24.0	-29.0	-25.0	-29.0	-25.0
1885	-57.0	-29.0	-19.0	-36.0	-35.0	-40.0	-28.0	-24.0	-17.0	-14.0	-14.0	0.0
1886	-37.0	-43.0	-34.0	-23.0	-21.0	-30.0	-13.0	-21.0	-12.0	-22.0	-29.0	-18.0
1887	-60.0	-43.0	-26.0	-34.0	-28.0	-25.0	-19.0	-28.0	-24.0	-33.0	-29.0	-40.0
1888	-43.0	-41.0	-39.0	-25.0	-26.0	-20.0	-11.0	-13.0	-10.0	-3.0	-1.0	-10.0
1889	-18.0	16.0	6.0	7.0	-1.0	-10.0	-13.0	-18.0	-18.0	-21.0	-32.0	-30.0
1890	-41.0	-37.0	-37.0	-34.0	-44.0	-29.0	-25.0	-33.0	-31.0	-21.0	-45.0	-30.0
1891	-43.0	-50.0	-19.0	-27.0	-21.0	-26.0	-26.0	-21.0	-17.0	-28.0	-40.0	-13.0
1892	-36.0	-15.0	-36.0	-39.0	-34.0	-31.0	-35.0	-28.0	-20.0	-18.0	-48.0	-43.0
1893	-85.0	-58.0	-28.0	-35.0	-44.0	-34.0	-17.0	-28.0	-24.0	-22.0	-21.0	-38.0
1894	-55.0	-34.0	-25.0	-46.0	-37.0	-41.0	-26.0	-22.0	-25.0	-23.0	-34.0	-27.0
1895	-50.0	-49.0	-30.0	-23.0	-30.0	-27.0	-19.0	-18.0	-9.0	-13.0	-16.0	-20.0
1896	-31.0	-21.0	-34.0	-39.0	-24.0	-17.0	-10.0	-10.0	-7.0	3.0	-17.0	-14.0
1897	-22.0	-22.0	-24.0	-12.0	-11.0	-23.0	-13.0	-18.0	-13.0	-19.0	-25.0	-28.0
1898	-13.0	-39.0	-57.0	-35.0	-36.0	-24.0	-28.0	-27.0	-23.0	-36.0	-40.0	-26.0
1899	-21.0	-40.0	-36.0	-21.0	-26.0	-36.0	-20.0	-14.0	-7.0	-7.0	6.0	-31.0
1900	-38.0	-3.0	0.0	-17.0	-15.0	-22.0	-20.0	-16.0	-15.0	-5.0	-20.0	-14.0
1901	-33.0	-8.0	0.0	-12.0	-23.0	-17.0	-18.0	-23.0	-24.0	-35.0	-25.0	-34.0
1902	-21.0	-4.0	-29.0	-31.0	-35.0	-38.0	-30.0	-32.0	-26.0	-35.0	-42.0	-48.0
1903	-26.0	-1.0	-20.0	-40.0	-41.0	-47.0	-36.0	-43.0	-42.0	-47.0	-45.0	-53.0
1904	-67.0	-56.0	-43.0	-51.0	-50.0	-45.0	-47.0	-43.0	-47.0	-37.0	-19.0	-27.0
1905	-34.0	-61.0	-28.0	-37.0	-31.0	-32.0	-31.0	-26.0	-21.0	-28.0	-12.0	-24.0
1906	-31.0	-33.0	-16.0	-8.0	-24.0	-26.0	-33.0	-26.0	-30.0	-28.0	-48.0	-21.0
1907	-46.0	-54.0	-34.0	-46.0	-51.0	-46.0	-39.0	-36.0	-33.0	-26.0	-53.0	-52.0
1908	-45.0	-36.0	-57.0	-45.0	-38.0	-41.0	-42.0	-46.0	-34.0	-44.0	-50.0	-49.0
1909	-67.0	-47.0	-51.0	-58.0	-55.0	-52.0	-42.0	-31.0	-36.0	-41.0	-34.0	-56.0
1910	-46.0	-45.0	-49.0	-47.0	-45.0	-45.0	-37.0	-37.0	-39.0	-45.0	-56.0	-67.0
1911	-64.0	-59.0	-65.0	-55.0	-52.0	-50.0	-40.0	-42.0	-38.0	-27.0	-23.0	-26.0
1912	-30.0	-19.0	-42.0	-29.0	-29.0	-32.0	-48.0	-59.0	-55.0	-63.0	-46.0	-49.0
